City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
415,solnechnyy,0,RU,1556231821,54,50.72,136.64,43.44,3.67
416,baiyin,2,CN,1556229600,52,36.55,104.13,44.6,6.71
417,matagami,38,NG,1556231822,51,9.67,8.4,79.51,2.01
418,sao joao da barra,0,BR,1556229600,83,-21.64,-41.05,75.2,2.24
419,weligama,100,LK,1556231823,76,5.97,80.42,83.02,8.63
420,luderitz,0,NA,1556229600,93,-26.65,15.16,55.4,5.82
421,ostrovnoy,100,RU,1556231823,93,68.05,39.51,34.37,11.52
422,bahia honda,0,CU,1556231824,68,22.9,-83.16,83.31,1.92
423,colac,97,AU,1556231528,77,-38.34,143.59,53.01,3.0
424,hambantota,90,LK,1556226600,100,6.12,81.12,77.0,3.36
425,turukhansk,100,RU,1556231825,80,65.8,87.96,8.58,16.62
426,lavumisa,38,ZA,1556231825,96,-27.31,31.88,62.63,3.04
427,samarai,99,PG,1556231826,91,-10.62,150.67,80.85,4.52
428,braganca paulista,75,BR,1556231502,88,-22.95,-46.54,77.0,4.7
429,caohai,100,CN,1556231826,68,26.87,104.28,60.38,6.49
430,san francisco,40,US,1556231711,67,37.78,-122.42,82.0,23.04
431,yar-sale,64,RU,1556231828,97,66.83,70.83,-0.28,7.27
432,nampula,90,MZ,1556229600,100,-15.12,39.26,71.6,11.41
433,vilhena,20,BR,1556229600,78,-12.74,-60.15,80.6,3.36
434,smithers,75,CA,1556229600,42,54.78,-127.17,44.6,3.36
435,north bend,1,US,1556231493,71,43.41,-124.22,72.0,11.41
436,takoradi,92,GH,1556231830,85,4.89,-1.75,79.05,2.82
437,la macarena,100,CO,1556231830,95,2.18,-73.79,74.56,2.21
438,karratha,0,AU,1556231830,20,-20.74,116.85,82.65,20.56
439,areia branca,40,BR,1556229600,65,-10.76,-37.31,82.4,8.05
440,lazarev,0,RU,1556231831,66,52.23,141.51,37.18,9.57
441,itarema,100,BR,1556231832,95,-2.92,-39.92,74.47,5.84
442,san luis,95,AR,1556231535,77,-33.3,-66.34,63.0,15.21
443,washington,75,US,1556231550,43,38.9,-77.04,75.0,5.53
444,barra do garcas,0,BR,1556226000,62,-15.89,-52.26,86.0,5.82
445,kupang,20,ID,1556229600,69,-10.16,123.6,77.0,8.05
446,qaqortoq,20,GL,1556229000,47,60.72,-46.03,33.8,9.17
447,umm lajj,3,SA,1556231834,64,25.02,37.27,78.33,3.29
448,syracuse,40,US,1556231596,31,43.05,-76.15,66.99,5.48
449,taltal,0,CL,1556231835,77,-25.41,-70.49,63.96,6.17
450,ampanihy,35,MG,1556231836,65,-24.69,44.75,76.78,7.63
451,haines junction,33,CA,1556231836,29,60.75,-137.51,32.28,4.68
452,monrovia,75,LR,1556229600,88,6.33,-10.8,80.6,8.12
453,igrim,3,RU,1556231837,97,63.19,64.42,9.94,3.22
454,mehamn,0,NO,1556229000,93,71.03,27.85,37.4,3.36
455,boone,40,US,1556231611,55,36.22,-81.67,72.0,9.17
